form_id,form
1,Mardi
2,le
3,xx
4,e
5,jour
6,du
7,moys
8,d
9,’
10,aoust
11,l
12,an
13,etc
14,nonante
15,et
16,trois
17,","
18,en
19,presence
20,de
21,saiges
22,pourveables
23,discrets
24,conseillieurs
25,Frybourg
26,Jehan
27,Mussillier
28,Pierre
29,Ramuz
30,Cordey
31,Hans
32,Espagniod
33,Guilliame
34,Gastrod
35,Wilhelm
36,Reiff
37,J
38,H
39,ans
40,Techtermand
41,grosoutier
42,dudit
43,Jehanneta
44,relexee
45,Estieven
46,Lasne
47,Vacheresse
48,Il
49,existe
50,aussi
51,un
52,village
53,nommé
54,Gruyère
55,mais
56,selon
57,les
58,autres
59,mentions
60,lieux
61,faites
62,dans
63,procès
64,il
65,faut
66,privilégier
67,la
68,provenance
69,savoyarde
70,.
71,az
72,regiqui
73,:
74,Item
75,que
76,par
77,grand
78,desconfort
79,qu
80,elle
81,avoit
82,ce
83,son
84,mari
85,susdit
86,battoyt
87,s
88,allast
89,nuyt
90,ung
91,boys
92,sur
93,roché
94,començzaz
95,a
96,cryer
97,Dieu
98,ou
99,diable
100,ly
101,voulsisent
102,aydier
103,Adonc
104,venist
105,qui
106,se
107,nomoit
108,Sathanaz
109,forme
110,obscure
111,noire
112,desmandaz
113,vouloit
114,cause
115,sa
116,tristesse
117,;
118,auquel
119,respondist
120,estoit
121,toute
122,desconfortee
123,car
124,ne
125,faisoit
126,battre
127,ledit
128,dist
129,croyre
130,prendre
131,maistre
132,renyer
133,reconforteroit
134,battroit
135,plus
136,Et
137,celle
138,heure
139,renyast
140,prist
141,pour
142,faisant
143,hommage
144,baisast
145,cul
146,donast
147,enseignie
148,troys
149,poilz
150,teste
151,puys
152,apprés
153,est
154,allee
155,frequenté
156,sette
157,tenoent
158,ancian
159,chastel
160,desroché
161,appellé
162,Berney
163,Bernex
164,à
165,Genève
166,espace
167,deux
168,laquelle
169,leur
170,Sathanat
171,convoquoyt
172,toutes
173,sepmaines
174,foys
175,c
176,assavoir
177,mescredi
178,vendredi
179,donnoit
180,des
181,bastonets
182,lesqueulx
183,eulx
184,chevaucheoent
185,ladite
186,aventure
187,vouloent
188,aller
189,durement
190,quant
191,eure
192,departir
193,dessus
194,lesdits
195,bastonet
196,retornent
197,chacun
198,logis
199,ses
200,complices
201,cy
202,trovoent
203,jours
204,susdits
205,environ
206,mynuit
207,estoent
208,tous
209,amassés
210,commençzoent
211,tout
212,premierement
213,danzer
214,faire
215,bonne
216,chiere
217,mestre
218,appourtoit
219,mangier
220,Sessel
221,Larrengez
222,cusiner
223,Villie
224,embrassaz
225,unefoys
226,une
227,joefnez
228,femme
229,grosse
230,moiten
231,pressast
232,tellement
233,tantost
234,enfantast
235,filz
236,luquel
237,n
238,eust
239,point
240,batisme
241,feust
242,enterré
243,allesrent
244,occultement
245,deterrasrent
246,fres
247,pourterent
248,rotisrent
249,mengasrent
250,pluseurs
251,aultres
252,enfans
253,mengeoent
254,ilz
255,sçait
256,out
257,venoent
258,avoent
259,recehuz
260,batesme
261,tels
262,baptisés
263,ont
264,puissance
265,settez
266,mesloent
267,ensemble
268,touteffois
269,non
270,pas
271,hors
272,nature
273,sont
274,eu
275,ehu
276,brulés
277,executé
278,justice
279,Livret
280,esté
281,brulé
282,sçavoit
283,donné
284,maladie
285,aux
286,gens
287,bestes
288,atout
289,grasse
290,quoy
291,frotoit
292,frappoit
293,baston
294,malades
295,y
296,mestoit
297,remede
298,povoent
299,bien
300,morir
301,on
302,presentoit
303,guerir
304,parolles
305,lesquelles
306,depuys
307,prise
308,es
309,mains
310,nulle
311,value
312,desriement
313,ceste
314,ville
315,sceu
316,heresge
317,celluy
318,ouvroit
319,maisons
320,emploit
321,solars
322,lanne
323,amassoit
324,quantité
325,vendoit
326,ceulx
327,aulcunes
328,Rom
329,Moudon
330,Verte
331,si
332,Morat
333,Berthet
334,Dam
335,o
336,Gros
337,Bovey
338,Larrenjoz
339,Magniens
340,dou
341,Buaz
342,Niccod
343,La
344,Vernaz
345,desquelx
346,raccordant
347,Hec
348,juditio
349,presentata
350,xxii
351,augusti
352,u
353,i
354,gne
355,cremari
356,adjudicata
357,94
358,Kund
359,und
360,zů
361,wussen
362,sye
363,mengklichenn
364,das
365,Frantz
366,Maradan
367,von
368,Morlon
369,in
370,der
371,ge
372,fäncknus
373,miner
374,g
375,herren
376,obern
377,schult
378,heyssen
379,rhats
380,statt
381,Fryburg
382,verjechen
383,bekhandt
384,hatt
385,wie
