ref_id,ref
374,loc010536.02
375,loc005865.11
376,loc007983.06
377,loc001009.04
378,loc000770
379,loc010554.02
380,loc007661.03
381,loc007646.04
382,loc007663.04
383,loc011701.02
384,loc008508
385,loc007661
386,loc008144
387,loc008169.02
388,loc007661.02
389,loc008141.02
390,loc007935.11
391,loc008660.04
392,loc011701.05
393,loc007935.10
394,loc012044.02
395,loc008141.05
396,loc011701.07
397,loc011701.06
398,loc008334
399,loc008139
400,loc008144.04
401,loc012044.03
402,loc000076.11
403,loc007852.05
404,loc007935.04
405,loc007852.04
406,loc008141.04
407,loc007662
408,loc008660.03
409,loc010286.02
410,loc007816
411,loc007846.08
412,loc008145.04
413,loc012284
414,loc012680.03
415,loc012044
416,loc012570
417,loc008105.02
418,loc008545.03
419,loc008545.04
420,loc007883.05
421,loc008196.03
422,loc008545.05
423,loc011695.02
424,loc010834.02
425,loc008196
426,loc008196.05
427,loc010423.02
428,loc009179.03
429,loc007935.05
430,loc008048.03
431,loc008105.03
432,loc008048.09
433,loc007618.02
434,loc012285
435,loc007663.06
436,loc007935.12
437,loc010515.02
438,loc012287
439,loc007935
440,loc012286
441,loc010515
442,loc012284.02
443,loc007936.03
444,loc008333.04
445,loc008333.03
446,loc007647.09
447,loc007950
448,loc008461.01
449,loc008140.04
450,loc008145
451,loc007950.02
452,loc010489.02
453,loc007982.07
454,loc007649.05
455,loc008140.05
456,loc008666.05
457,loc011620.02
458,loc008058.04
459,loc011622.02
460,loc007616.04
461,loc008104.05
462,loc008130.09
463,loc007889.03
464,loc007889.07
465,loc007655.14
466,loc011630
467,loc011632.02
468,loc012552
469,loc012551
470,loc007885.10
471,loc007616
472,loc007616.05
473,loc008127.06
474,loc008345.03
475,loc009823.04
476,loc009824.02
477,loc008127.03
478,loc007902.05
479,loc009823.05
480,loc007891.04
481,loc011707.02
482,loc007935.13
483,loc008127.04
484,loc007598.07
485,loc007598.06
486,loc008127.05
487,loc007902.06
488,loc007935.14
489,loc011707.03
490,loc001095.12
491,loc013232
492,loc005865.03
493,loc001095
494,loc012550
495,loc007693.13
496,loc008123.05
497,loc012554
498,loc009824.04
499,loc007609.11
500,loc008345.02
501,loc008127.07
502,loc008345.04
